zip,price,rent,ROI,median_income,annual_mortgage_interest_cost,cash_flow,ROI_after_interest,z_roi_ai,z_income,z_price,investment_score,state
46226,155784.4820673672,1205.846153846154,0.0928857204140294,50325,10125.991334378868,4344.162511774979,0.0278857204140294,0.6886958936681796,-0.8646888328716837,-0.8972915547585291,0.2643996079242905,Indiana
46360,219566.5521105996,1144.3055555555554,0.0625398838514792,59266,14271.825887188974,-540.1592205223096,-0.0024601161485207,-0.4675746098710498,-0.5189254219586948,-0.2655753906502598,-0.3363498533930814,Indiana
46123,342905.7604052148,1754.9666666666665,0.0614151245960805,103485,22288.874426338964,-1229.274426338965,-0.0035848754039194,-0.5104314264204833,1.191097200472963,0.956011984849046,-0.089088950038162,Indiana
47905,282414.59655896766,1156.564935064935,0.0491432786756875,65861,18356.948776332894,-4478.169555553677,-0.0158567213243124,-0.9780268223318938,-0.2638857513434213,0.3568899124312869,-0.6395571190552306,Indiana
46385,358640.520545752,1666.111111111111,0.0557475583152427,98957,23311.633835473884,-3318.3005021405515,-0.0092524416847572,-0.7263832820853751,1.0159918739307403,1.1118536236106364,-0.2807648035855927,Indiana
46514,235155.33019136792,1323.0555555555557,0.067515657220044,65833,15285.096462438914,591.5702042277535,0.002515657220044,-0.2779822100534188,-0.2649685581329933,-0.1111796006477851,-0.1962457523370503,Indiana
46038,369019.50114938646,1765.175213675214,0.0574010384224318,106886,23986.26757471012,-2804.1650106075504,-0.0075989615775681,-0.6633805610303529,1.3226195537349108,1.2146500648336624,-0.1778344273614357,Indiana
47909,268946.42930118466,1521.8645502645502,0.0679033912092699,68035,17481.517904577002,780.8566985975995,0.0029033912092699,-0.2632083423421956,-0.1798135384673629,0.2234972685128881,-0.2302476864138843,Indiana
46140,286286.52507929155,1560.3180523180524,0.0654023678642603,83056,18608.624130153952,115.19249766267605,0.0004023678642603,-0.3585050897736518,0.401073632466985,0.3952386181240075,-0.1379781787715319,Indiana
46037,458949.53961098514,1901.710317460317,0.0497233831607434,141810,29831.720074714038,-7011.196265190229,-0.0152766168392565,-0.955923042010718,2.6731889936997044,2.105343309762268,-0.0970734848479012,Indiana
46254,215262.45945215583,1264.6910413288122,0.0705013430329166,60287,13992.05986439013,1184.2326315556147,0.0055013430329166,-0.1642183192098042,-0.4794416458103712,-0.3082043756034873,-0.164300778227316,Indiana
46237,253069.18825090528,1826.506349206349,0.0866090271279707,79078,16449.497236308845,5468.57895416734,0.0216090271279707,0.449534409638145,0.2472377250056418,0.0662444573998837,0.2856896308407883,Indiana
