state,zip,price,rent,ROI,median_income,annual_mortgage_interest_cost,cash_flow,ROI_after_interest,z_roi_ai,z_income,z_price,investment_score
AL,35235,179618.47221606105,1383.3703703703704,9.242058592100681,63295.0,11675.20069404397,4925.243750400476,0.027420585921006803,0.10259422195439025,-0.2769321778915737,-0.5237924190561262,0.07297594142094825
AL,35613,340527.8623923341,1771.25,6.241779997288847,100845.0,22134.311055501716,-879.3110555017156,-0.0025822000271115276,-0.49900813179059245,1.1752389804584156,0.7336531893675315,-0.043663009631277894
AL,35126,219887.0854717017,1556.111111111111,8.492237410521543,83732.0,14292.66055566061,4380.672777672722,0.01992237410521543,-0.047756544973020405,0.5134279276529996,-0.20910854112864335,0.17197181403511835
AL,35124,339114.2661317839,1622.9166666666663,5.742902008266375,99726.0,22042.427298565955,-2567.427298565959,-0.007570979917336258,-0.5990408997296999,1.1319638932095835,0.7226064729020368,-0.10445257648238229
AL,36869,164381.4466934182,1261.1333333333334,9.206391782294704,50061.0,10684.794035072184,4448.805964927818,0.027063917822947033,0.09544247385774521,-0.7887306628344168,-0.6428639711134508,-0.060325167698762255
AL,36867,185867.4744941189,1282.8666666666666,8.282460415357447,48026.0,12081.38584211773,3313.0141578822677,0.017824604153574463,-0.08982008342925013,-0.8674302182869396,-0.4749588459317408,-0.21014733801435875
AL,36360,138368.91117303344,740.0,6.41762656417478,51181.0,8993.979226247175,-113.97922624717467,-0.0008237343582522021,-0.4637481700258796,-0.7454169025853625,-0.8461420303879268,-0.28627074971096317
AL,35805,154213.42483715873,1194.8470268542198,9.297610981268969,35385.0,10023.872614415317,4314.291707835322,0.027976109812689703,0.11373333688111475,-1.3562956140979172,-0.722323189842095,-0.20555737782039876
AL,35473,259422.07666374935,1947.5,9.008485438304117,69657.0,16862.434983143707,6507.565016856293,0.02508485438304116,0.05575918492194939,-0.030894550476856523,0.09984235974201812,-0.0013572446304858862
AL,36066,283894.3630695372,1960.8333333333333,8.288294189989449,86278.0,18453.13359951992,5076.866400480081,0.017882941899894474,-0.0886503212092021,0.6118893862191533,0.2910839587272184,0.08102486351570129
AL,36804,310682.3114796212,1775.0,6.855877921906457,61880.0,20194.35024617538,1105.6497538246185,0.0035587792190645592,-0.37587198119487336,-0.3316544732062271,0.500421574450198,-0.3875166474493444
AL,36693,219208.4444731808,1478.8333333333333,8.095491048553626,68933.0,14248.548890756752,3497.4511092432476,0.01595491048553627,-0.12731033894815175,-0.05889380263785232,-0.21441186209923124,-0.038440937845585325
AL,35756,381430.69341621245,1725.1962962962962,5.427553658605392,129852.0,24792.99507205381,-4090.639516498257,-0.010724463413946086,-0.6622731308077412,2.2970266979086986,1.0532932376377218,0.14731279644119455
AL,36092,225389.52855978804,1625.0,8.651688534335491,78094.0,14650.319356386224,4849.680643613776,0.021516885343354906,-0.015784123625338948,0.2953895523992782,-0.16610904377714858,0.11394661266254369
AL,36207,194634.18366256627,907.9166666666669,5.59768063090524,67969.0,12651.221938066808,-1756.2219380668066,-0.009023193690947612,-0.6281600363944158,-0.0961745748522169,-0.4064503522253428,-0.26164232020780437
AL,35901,150687.5875356982,899.0,7.159182900478981,48876.0,9794.693189820384,993.3068101796161,0.006591829004789792,-0.31505463265686356,-0.8345581680979252,-0.7498762656811184,-0.2579195136215856
AL,36870,233677.70211311776,1669.3333333333333,8.572491007423118,72500.0,15189.050637352655,4842.949362647345,0.020724910074231172,-0.03166445509977445,0.07905278915534106,-0.10134012367204755,0.028151633931124603
AL,35040,251013.13021883563,1637.3333333333333,7.827478978040188,84554.0,16315.853464224318,3332.1465357756824,0.013274789780401867,-0.18105091248414504,0.5452171338357876,0.03412964548063722,0.06621375481253632
AL,36203,197046.6565752033,1024.5833333333333,6.239638983829997,69485.0,12808.032677388215,-513.0326773882152,-0.0026036101617000294,-0.4994374381684973,-0.03754630651510414,-0.3875977951053807,-0.18346305201770374
AL,36606,134704.72382909225,1222.045584045584,10.88643856851878,51303.0,8755.807048890996,5908.739959656012,0.04386438568518781,0.4323178902746955,-0.7406987965582335,-0.8747762591239437,0.1689045579946665
AL,35661,247598.0788226304,1222.5,5.924924809497014,74310.0,16093.875123470976,-1423.8751234709762,-0.005750751905029864,-0.5625425072654242,0.14905091955783056,0.007442319302872835,-0.23804444162593752
AL,35111,277951.7066716204,1851.2222222222224,7.992275684391342,86463.0,18066.860933655327,4147.805733011341,0.014922756843913426,-0.14800661899696174,0.6190438912602918,0.24464436199675307,0.06278098548025605
AL,35406,440087.7471043433,1884.3333333333333,5.138066249010739,119250.0,28605.703561782317,-5993.703561782317,-0.013619337509892611,-0.7203198426340486,1.8870155495511332,1.511675775054652,-0.09639041146261473
AL,35243,555680.5484,1799.618181818182,3.886300905079186,99645.0,36119.235646,-14523.817464181819,-0.026136990949208145,-0.9713181927698799,1.1288313801915717,2.414989498358072,-0.6300075819990829
AL,35214,140352.85282606987,1215.2777777777776,10.390478739613156,56383.0,9122.935433694542,5460.3978996387905,0.03890478739613156,0.3328702586619067,-0.5442399554285944,-0.8306382818730232,0.16929079907697972
AL,35115,236352.97081565455,1661.6666666666667,8.436534531885519,57372.0,15362.943103017546,4577.056896982454,0.019365345318855195,-0.05892583537016919,-0.5059923582086706,-0.08043391752911862,-0.16517384164186205
AL,36542,447978.9624460104,1576.1666666666667,4.222073263603194,79639.0,29118.632558990677,-10204.632558990677,-0.02277926736396806,-0.903990631402794,0.3551393377428397,1.5733426179010168,-0.6601220379587485
AL,36305,262811.3114466695,1547.5,7.065905914695867,84302.0,17082.73524403352,1487.2647559664802,0.0056590591469586745,-0.3337581138250437,0.5354715377797504,0.12632793891816796,-0.03150318336223033
AL,36618,167684.38843860928,1416.6666666666667,10.138093449423199,61550.0,10899.485248509603,6100.5147514903965,0.03638093449423199,0.28226309674986066,-0.3444165632796092,-0.6170527391659562,0.1612171272242388
AL,35757,342306.4625388852,1752.9235880398671,6.145102520256645,106175.0,22249.920065027538,-1214.8370085491333,-0.003548974797433545,-0.5183934641518183,1.3813660716436469,0.7475522722052225,0.0057026349761404305
AL,35205,224816.09634065672,1012.2903667214013,5.403298339568229,51158.0,14613.046262142687,-2465.561861485872,-0.01096701660431771,-0.6671366981607281,-0.746306381590477,-0.1705901982012963,-0.5233422239172478
AL,36081,159775.76365047207,1180.8333333333333,8.868679251628246,44375.0,10385.424637280685,3784.5753627193153,0.02368679251628245,0.027725877909141956,-1.008625342098812,-0.6788556302068048,-0.1529535376337117
AL,35763,429522.4612740627,1787.611111111111,4.994228536897402,123497.0,27918.959982814074,-6467.626649480742,-0.015057714631025976,-0.749161532973843,2.051259781495538,1.429112089650877,-0.04502524996843554
AL,35213,816864.6375657086,1482.0952380952378,2.1772448015552905,159824.0,53096.20144177106,-35311.058584628205,-0.043227551984447096,-1.3140104268644566,3.4561338605735688,4.456043693838961,-0.5113737940279499
AL,35120,251722.5639360291,1652.0833333333333,7.875734177345412,74352.0,16361.966655841892,3463.033344158108,0.013757341773454118,-0.17137499720992452,0.15067518556717008,0.039673599821495376,-0.048419662899110316
AL,35210,265378.6060415741,1884.5555555555557,8.521661562697282,73061.0,17249.609392702318,5365.05727396435,0.02021661562697282,-0.04185654647405255,0.10074834228009057,0.14639036852750334,-0.019981844258499776
AL,35206,98624.16433541414,1124.5079365079366,13.682341775999978,42549.0,6410.57068180192,7083.5245562933205,0.07182341775999977,0.9929398116430759,-1.0792422405048594,-1.156732091751815,0.4040436520204431
AL,35773,263656.22075540136,1637.5,7.452886923623797,74511.0,17137.65434910109,2512.345650898911,0.00952886923623797,-0.256162424468652,0.1568241926025269,0.13293058341652358,-0.10762007113687266
AL,36106,187316.2852929676,1236.2444444444443,7.919724283519239,69087.0,12175.558544042895,2659.3747892904357,0.014197242835192378,-0.1625542992049364,-0.05293816060360736,-0.46363694125946964,-0.004431209531656474
AL,36108,64724.91492774062,1425.0,26.419501700528414,33291.0,4207.119470303141,12892.88052969686,0.1991950170052841,3.546937764990855,-1.4372768765635597,-1.4216418167208855,1.6266141828705367
AL,35208,81098.84993452007,1109.5,16.417002227220042,38561.0,5271.425245743804,8042.574754256196,0.09917002227220043,1.54128161129868,-1.2334701653916704,-1.2936857499908205,0.659336906030003
AL,36527,376299.9674784904,1543.309523809524,4.921529600390649,120189.0,24459.497886101875,-5939.7836003875855,-0.01578470399609351,-0.7637387963629327,1.9233294967599386,1.013198568262949,-0.007510262806074586
AL,36571,227453.80868589817,1311.6666666666667,6.920086364320291,62047.0,14784.497564583382,955.502435416618,0.0042008636432029015,-0.36299719344907583,-0.32519608216909135,-0.1499774806888176,-0.2490619252375018
